Năm Dữ Liệu (Year),Miền (Region),Vùng Kinh Tế (Zone),Tỉnh/Thành Phố (City),Mức Giá (Price),Diện Tích (Area),Địa Chỉ Chi Tiết (Address)
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,103 triệu/m²,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,1.4 tỷ,Không xác định,"Dự án FLC Tropical City, Đường Trần Phú, Phường Hà Khánh, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.5 tỷ,45m²,"Số 69, Ngõ 624/16, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,27 triệu/m²,92m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,80m²,"Dự án Imperia Sky Garden, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hải Phòng,3.2 tỷ,Không xác định,"Dự án Bạch Đằng Luxury Residence, Đường Vòng Cầu Niệm, Phường Nghĩa Xá, Lê Chân, Hải Phòng"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2 tỷ,77.4m²,"Dự án Mỹ Đình II, Đường Trần Hữu Dực, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.5 tỷ,60m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.2 tỷ,150.3m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,80m²,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,23 triệu/m²,200m²,"Dự án Thanh Hà Mường Thanh, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,25 triệu/m²,Không xác định,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tỷ,57m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Nhật Tân, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.3 tỷ,79m²,"Dự án Imperia Sky Garden, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.1 tỷ,95m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,55m²,"Dự án Masteri An Phú, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.3 tỷ,91.2m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,92m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.45 tỷ,91.3m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,22 triệu/m²,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,30 triệu/m²,193m²,"Dự án Thành Công Tower 57 Láng Hạ, Phố Láng Hạ, Phường Thành Công, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.9 tá»·,69.3mÂ²,"Dá»± Ã¡n Roman Plaza, Ä�Æ°á»�ng Tá»‘ Há»¯u, PhÆ°á»�ng Ä�áº¡i Má»—, Nam Tá»« LiÃªm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.9 tỷ,70m²,"Dự án Tây Hồ Residence, 68A đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,6 tỷ,78.42m²,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Liễu Giai, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,91m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,29 triệu/m²,81m²,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,183m²,"Dự án An Khang Villa, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,Không xác định,"Dự án Thống Nhất Complex, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.8 tỷ,80m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.7 tỷ,40m²,"Dự án The Lotus Center, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2 tỷ,100m²,"Dự án Goldmark City, 136  Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,28 triệu/m²,93.7m²,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,28 triệu/m²,127m²,"Dự án N01-T3 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Sunshine Wonder Villas, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.15 tỷ,36m²,"Số 61, Ngõ 38, Giếng Mứt, Phố Bạch Mai, Phường Bạch Mai, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,Không xác định,"Dự án HH1 Mễ Trì Hạ, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,45 triệu/m²,120m²,"Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,67m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,103m²,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,58m²,"Dự án D' EL Dorado, 659 Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,25 tỷ,250m²,"Dự án KĐT Linh Đàm, Phường Đại Kim, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,14 triệu/m²,Không xác định,"Dự án FLC Tropical City, Đường Trần Phú, Phường Hà Khánh, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,38 triệu/m²,98m²,"Dự án Imperia Sky Garden, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,45 tỷ,901m²,"Đường Vân Trì, Xã Vân Nội, Đông Anh, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.95 tỷ,93.7m²,"Dự án Sunshine Garden, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,38 triệu/m²,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tỷ,57m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,21 triệu/m²,80m²,"Dự án Samsora Premier, 105 Chu Văn An, Phường Yết Kiêu, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,50m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,128.89m²,"Đường 21B, Xã Phương Trung, Thanh Oai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,23 triệu/m²,98.2m²,"Dự án Mandarin Garden 2, Đường Trương Định, Phường Tân Mai, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,76m²,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,40 triệu/m²,75m²,"Dự án Hinode City, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,93m²,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.3 tỷ,90m²,"Dự án Mỹ Đình Pearl, Đường Châu Văn Liêm, Phường Phú Đô, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,35 tỷ,184m²,"Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.3 tỷ,91.2m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,9.8 tỷ,120m²,"Dự án Geleximco Lê Trọng Tấn, Phố Lê Trọng Tấn, Phường Dương Nội, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,93m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Quảng Ninh,14.9 tỷ,256m²,"Đường Hải Quân, Phường Bãi Cháy, Hạ Long, Quảng Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.8 tỷ,50m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3 tỷ,99m²,"Dự án Sunshine Riverside, Đường Võ Chí Công, Phường Nhật Tân, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.2 tỷ,65m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,49 triệu/m²,118m²,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.1 tỷ,31m²,"Dự án KĐT Văn Phú, Phố Lê Trọng Tấn, Phường Phú La, Hà Đông, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.5 tỷ,92m²,"Dự án Stellar Garden, Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.39 tỷ,61.5m²,"Đường Nguyễn Duy Trinh - Bán đảo Linh Đàm - Dự án VP5 Linh Đàm, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.1 tỷ,59m²,"Dự án Sunshine Riverside, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,103 triệu/m²,120m²,"Dự án Louis City, Đường 70, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,12.742 tỷ,Không xác định,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,14.7 tỷ,57m²,"Số nhà 51, tập thể 188 Quán Thánh, Đường Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.6 tỷ,72.5m²,"Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,40 triệu/m²,145m²,"Dự án Vinhomes Sky Lake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.6 tỷ,90m²,"Dự án Imperia Sky Garden, 423 Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,25 tỷ,160m²,"Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3 tỷ,79m²,"Dự án Hinode City, 201 Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,48m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,31 triệu/m²,113m²,"Dự án Kosmo Tây Hồ, Đường Xuân La, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,6.1 tỷ,78.5m²,"Đường Lương Khánh Thiện, Phường Tương Mai, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.3 tỷ,65m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.05 tỷ,52m²,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,Thỏa thuận,Không xác định,"Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,32 tỷ,90m²,"Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,27 triệu/m²,110.31m²,"Dự án Khu Ngoại Giao Đoàn, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,7.3 tỷ,130m²,"Dự án Estella Heights, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,35.8 triệu/m²,77.5m²,"Dự án Legend Tower 109 Nguyễn Tuân, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,4.8 tỷ,65m²,"99 Đường Định Công Hạ, Phường Định Công, Hoàng Mai, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,1.7 tỷ,45m²,"Dự án The Lotus Center, Tây Hồ, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5.05 tỷ,124m²,"Dự án The Estella, Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hưng Yên,880 triệu,45m²,"Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,3.75 tỷ,33m²,"Phố Thái Hà, Phường Láng Hạ, Đống Đa, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5.2 tỷ,41m²,"Số 52 ngõ 129 Đường Thiên Hiền, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,32m²,"Phố Đại La, Phường Trương Định, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.98 tỷ,45m²,"Ngõ 129, Đường Trương Định, Phường Trương Định, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Bắc Ninh,Thỏa thuận,Không xác định,"Dự án Trầu Cau Garden, Đường Lý Anh Tông, Phường Võ Cường, Bắc Ninh, Bắc Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,5 tỷ,82m²,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Bắc Ninh,22 triệu/m²,Không xác định,"Dự án Lotus Garden Từ Sơn, Từ Sơn, Bắc Ninh"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,14.5 triệu/m²,69m²,"Dự án Nhà ở cho CBCS Bộ Công an, Phường Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,2.7 tỷ,93m²,"Dự án Green Pearl 378 Minh Khai, Hai Bà Trưng, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,26.6 triệu/m²,92.2m²,"Dự án Stellar Garden, Phố Lê Văn Thiêm, Phường Nhân Chính, Thanh Xuân, Hà Nội"
2019 - 2020,Miền Bắc,Đồng bằng sông Hồng,Hà Nội,37 triệu/m²,87.9m²,"Dự án Golden Palace, Nam Từ Liêm, Hà Nội"
